Source,Target,Type,Id,Label,timeset,Weight,movie_id
ASSISTANT BRUTE,FEZZIK,Undirected,0,141714,,1,652
BUTTERCUP,ANCIENT BOOER,Undirected,1,141699,,1,652
BUTTERCUP,FEZZIK,Undirected,2,141632,,1,652
DIE,RUGEN,Undirected,3,141772,,1,652
FEZZIK,IMPRESSIVE CLERGYMAN,Undirected,4,141752,,1,652
FEZZIK,INIGO,Undirected,5,141724,,10,652
FEZZIK,MIRACLE MAX,Undirected,6,141731,,1,652
FEZZIK,THE KID,Undirected,7,141725,,1,652
FEZZIK,VIZZINI,Undirected,8,141651,,4,652
FEZZIK,WESTLEY,Undirected,9,141745,,2,652
GRANDFATHER,ASSISTANT BRUTE,Undirected,10,141710,,1,652
GRANDFATHER,BUTTERCUP,Undirected,11,141610,,3,652
GRANDFATHER,FEZZIK,Undirected,12,141627,,2,652
GRANDFATHER,HUMPERDINCK,Undirected,13,141623,,2,652
GRANDFATHER,INIGO,Undirected,14,141626,,2,652
GRANDFATHER,THE KID,Undirected,15,141606,,8,652
GRANDFATHER,WESTLEY,Undirected,16,141611,,2,652
GRANDFATHER,YELLIN,Undirected,17,141709,,1,652
HUMPERDINCK,BUTTERCUP,Undirected,18,141702,,6,652
HUMPERDINCK,FEZZIK,Undirected,19,141781,,1,652
HUMPERDINCK,INIGO,Undirected,20,141779,,1,652
HUMPERDINCK,THE KID,Undirected,21,141697,,1,652
HUMPERDINCK,WESTLEY,Undirected,22,141689,,5,652
HUMPERDINCK,YELLIN,Undirected,23,141705,,3,652
IMPRESSIVE CLERGYMAN,BUTTERCUP,Undirected,24,141754,,1,652
IMPRESSIVE CLERGYMAN,HUMPERDINCK,Undirected,25,141753,,2,652
IMPRESSIVE CLERGYMAN,WESTLEY,Undirected,26,141755,,1,652
IMPRESSIVE CLERGYMAN,YELLIN,Undirected,27,141749,,1,652
INIGO,ASSISTANT BRUTE,Undirected,28,141712,,1,652
INIGO,BUTTERCUP,Undirected,29,141636,,3,652
INIGO,DIE,Undirected,30,141770,,1,652
INIGO,RUGEN,Undirected,31,141769,,2,652
INIGO,THE KID,Undirected,32,141726,,1,652
INIGO,VALERIE,Undirected,33,141736,,2,652
INIGO,VIZZINI,Undirected,34,141644,,5,652
KING,BUTTERCUP,Undirected,35,141766,,1,652
KING,QUEEN,Undirected,36,141765,,1,652
MAN IN BLACK,BUTTERCUP,Undirected,37,141674,,3,652
MAN IN BLACK,FEZZIK,Undirected,38,141662,,3,652
MAN IN BLACK,HUMPERDINCK,Undirected,39,141673,,1,652
MAN IN BLACK,INIGO,Undirected,40,141653,,5,652
MAN IN BLACK,VIZZINI,Undirected,41,141668,,2,652
MIRACLE MAX,INIGO,Undirected,42,141732,,2,652
MIRACLE MAX,WESTLEY,Undirected,43,141733,,1,652
MOTHER,GRANDFATHER,Undirected,44,141604,,1,652
MOTHER,THE KID,Undirected,45,141603,,1,652
QUEEN,BUTTERCUP,Undirected,46,141767,,1,652
RUGEN,BUTTERCUP,Undirected,47,141703,,1,652
RUGEN,HUMPERDINCK,Undirected,48,141704,,4,652
RUGEN,WESTLEY,Undirected,49,141692,,1,652
THE KID,BUTTERCUP,Undirected,50,141620,,2,652
THE KID,WESTLEY,Undirected,51,141621,,2,652
VALERIE,MIRACLE MAX,Undirected,52,141740,,1,652
VIZZINI,BUTTERCUP,Undirected,53,141628,,3,652
VIZZINI,GRANDFATHER,Undirected,54,141640,,1,652
VIZZINI,THE KID,Undirected,55,141642,,1,652
WESTLEY,ALBINO,Undirected,56,141693,,1,652
WESTLEY,BUTTERCUP,Undirected,57,141678,,9,652
WESTLEY,INIGO,Undirected,58,141747,,7,652
WESTLEY,VALERIE,Undirected,59,141737,,1,652
WESTLEY,YELLIN,Undirected,60,141760,,1,652
YELLIN,ASSISTANT BRUTE,Undirected,61,141711,,1,652
YELLIN,BUTTERCUP,Undirected,62,141721,,1,652
YELLIN,INIGO,Undirected,63,141762,,1,652
